target_priority,journal,area,publisher,jcr_quartile_or_rank_note,sjr_quartile_note,metric_source_url,journal_url,notes,relevance_tags,last_verified
A,Data Mining and Knowledge Discovery,Data Mining,Springer,JCR indexed,SJR Q1,https://www.scimagojr.com/journalrank.php?category=1702,https://www.springer.com/journal/10618,Established data mining journal.,data mining,2026-06-27
A,npj Digital Medicine,Digital Health / AI,Nature Portfolio,JCR Q1,SJR Q1,https://www.scimagojr.com/journalsearch.php?q=24140&tip=sid,https://www.nature.com/npjdigitalmed/,High visibility digital health venue; application-focused.,health AI;clinical,2026-06-27
A,IEEE Transactions on Evolutionary Computation,Evolutionary Computation,IEEE,JCR Q1,SJR Q1,https://ooir.org/journals.php?category=Computer+Science%2C+Artificial+Intelligence&field=Computer+Science&metric=jif,https://cis.ieee.org/publications/t-evolutionary-computation,Evolutionary computation and optimization.,optimization,2026-06-27
A,IEEE Transactions on Fuzzy Systems,Fuzzy Systems / CI,IEEE,JCR Q1,SJR Q1,https://ooir.org/journals.php?category=Computer+Science%2C+Artificial+Intelligence&field=Computer+Science&metric=jif,https://cis.ieee.org/publications/t-fuzzy-systems,Fuzzy systems and computational intelligence.,fuzzy;CI,2026-06-27
A,ACM Transactions on Information Systems,Information Retrieval / IS,ACM,JCR indexed,SJR Q1,https://www.scimagojr.com/journalrank.php?category=1702,https://dl.acm.org/journal/tois,Top information retrieval/information systems journal.,IR,2026-06-27
A,Machine Learning,Machine Learning,Springer,JCR indexed,SJR Q1,https://www.scimagojr.com/journalsearch.php?q=24775&tip=sid,https://www.springer.com/journal/10994,Established ML journal.,machine learning,2026-06-27
A,Computational Linguistics,NLP,MIT Press,JCR indexed,SJR Q1,https://www.scimagojr.com/journalrank.php?category=1702,https://direct.mit.edu/coli,Classic NLP journal.,NLP,2026-06-27
A,Transactions of the Association for Computational Linguistics,NLP,ACL,Highly regarded,SJR Q1,https://www.scimagojr.com/journalrank.php?category=1702,https://direct.mit.edu/tacl,Top NLP journal with ACL ecosystem.,NLP,2026-06-27
A,Neural Networks,Neural Networks,Elsevier,JCR Q1,SJR Q1,https://www.scimagojr.com/journalrank.php?category=1702,https://www.sciencedirect.com/journal/neural-networks,Established neural networks journal.,deep learning,2026-06-27
A,Pattern Recognition,Pattern Recognition / Vision,Elsevier,JCR Q1,SJR Q1,https://www.scimagojr.com/journalrank.php?category=1702,https://www.sciencedirect.com/journal/pattern-recognition,Strong pattern recognition journal.,vision;pattern recognition,2026-06-27
A,IEEE Robotics and Automation Letters,Robotics,IEEE,JCR indexed,SJR Q1/Q2 varies,https://www.scimagojr.com/journalrank.php?category=1702,https://www.ieee-ras.org/publications/ra-l,Often paired with ICRA/IROS presentation option.,robotics,2026-06-27
A,The International Journal of Robotics Research,Robotics,SAGE,JCR Q1,SJR Q1,https://www.scimagojr.com/journalrank.php?category=1702,https://journals.sagepub.com/home/ijr,Premier robotics journal.,robotics,2026-06-27
A,"IEEE/ACM Transactions on Audio, Speech, and Language Processing",Speech / NLP,IEEE/ACM,JCR Q1,SJR Q1,https://www.scimagojr.com/journalrank.php?category=1702,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=6570655,Speech/audio/NLP signal processing.,speech;NLP,2026-06-27
B,AI Magazine,AI / Survey / Practice,AAAI/Wiley,"Magazine, not primary research",Not rank-priority,https://clarivate.com/academia-government/scientific-and-academic-research/research-funding-analytics/journal-citation-reports/,https://onlinelibrary.wiley.com/journal/23719621,Useful for overview/practice pieces; not normal technical ML venue.,AI overview,2026-06-27
B,Expert Systems with Applications,Applied AI,Elsevier,High-volume; JCR Q1,SJR Q1,https://www.scimagojr.com/journalrank.php?category=1702,https://www.sciencedirect.com/journal/expert-systems-with-applications,Broad applied AI; verify novelty expectations.,applied AI,2026-06-27
B,Computer Vision and Image Understanding,Computer Vision,Elsevier,JCR indexed,SJR Q2/Q1 varies,https://www.scimagojr.com/journalrank.php?category=1702,https://www.sciencedirect.com/journal/computer-vision-and-image-understanding,Vision journal; good specialist target.,computer vision,2026-06-27
B,IEEE Transactions on Big Data,Data / AI Systems,IEEE,JCR indexed,SJR varies,https://www.scimagojr.com/journalrank.php?category=1702,https://ieee-cybermatics.org/publication/ieee-transactions-on-big-data/,Big data analytics and systems.,data mining;systems,2026-06-27
B,ACM Transactions on Human-Robot Interaction,HRI,ACM,Specialist,SJR varies,https://www.scimagojr.com/journalrank.php?category=1702,https://dl.acm.org/journal/thri,HRI journal.,HRI,2026-06-27
B,Information Retrieval Journal,Information Retrieval,Springer,JCR indexed,SJR varies,https://www.scimagojr.com/journalrank.php?category=1702,https://www.springer.com/journal/10791,IR-specific journal.,IR,2026-06-27
B,Knowledge and Information Systems,Knowledge Discovery,Springer,JCR indexed,SJR Q2/Q1 varies,https://www.scimagojr.com/journalrank.php?category=1702,https://www.springer.com/journal/10115,Data mining/knowledge systems.,data mining,2026-06-27
B,Computerized Medical Imaging and Graphics,Medical Imaging,Elsevier,JCR indexed,SJR Q2/Q1 varies,https://www.scimagojr.com/journalsearch.php?q=24140&tip=sid,https://www.sciencedirect.com/journal/computerized-medical-imaging-and-graphics,Reputable medical imaging target.,medical imaging,2026-06-27
B,Neurocomputing,Neural Computation / ML,Elsevier,JCR indexed,SJR Q1/Q2 varies,https://www.scimagojr.com/journalrank.php?category=1702,https://www.sciencedirect.com/journal/neurocomputing,Broad ML/neural computation; high volume.,machine learning,2026-06-27
B,Pattern Analysis and Applications,Pattern Recognition,Springer,JCR indexed,SJR varies,https://www.scimagojr.com/journalrank.php?category=1702,https://www.springer.com/journal/10044,Pattern analysis applications.,vision,2026-06-27
B,Pattern Recognition Letters,Pattern Recognition,Elsevier,JCR indexed,SJR Q2/Q1 varies,https://www.scimagojr.com/journalrank.php?category=1702,https://www.sciencedirect.com/journal/pattern-recognition-letters,Shorter communications; reputable.,vision,2026-06-27
B,Autonomous Robots,Robotics,Springer,JCR indexed,SJR varies,https://www.scimagojr.com/journalrank.php?category=1702,https://www.springer.com/journal/10514,Robotics/autonomy journal.,robotics,2026-06-27
B,Robotics and Autonomous Systems,Robotics,Elsevier,JCR indexed,SJR varies,https://www.scimagojr.com/journalrank.php?category=1702,https://www.sciencedirect.com/journal/robotics-and-autonomous-systems,Applied robotics journal.,robotics,2026-06-27
B,International Journal of Approximate Reasoning,Uncertainty / Reasoning,Elsevier,JCR indexed,SJR varies,https://www.scimagojr.com/journalrank.php?category=1702,https://www.sciencedirect.com/journal/international-journal-of-approximate-reasoning,"Uncertainty, reasoning, probabilistic logic.",uncertainty,2026-06-27
